MSW05_Binomial	AdultBodyMass_g	GroundTree	SocialGroupSize	Colonial	ColonialWinter	Hibernation	HibernationType	LitterSize	PopulationDensity_n.km2	AdultBodyMass_REF	GroundTree_REF	SocialGroupSize_REF	Colonial_REF	ColonialWinter_REF	Hibernation_REF
Spermophilus madrensis	207.12	Ground	NA	NA	NA	NA	NA	6.07	NA	PanTHERIA	Nowak	NA	NA	NA	NA
Spermophilus mexicanus	177.49	Ground	1	Colonial	NA	NA	NA	7.59	374.69	PanTHERIA	Nowak	PanTHERIA	ADW	NA	NA
Spermophilus mohavensis	213.18	Ground	1	NonColonial	NA	No	Aestivates	NA	NA	PanTHERIA	Nowak	PanTHERIA	ADW	NA	ADW 
Spermophilus mollis	165.4	Ground	NA	NA	NA	NA	NA	6.94	124.53	PanTHERIA	Nowak	NA	NA	NA	NA
Spermophilus parryii	747.09	Ground	NA	Colonial	NA	Yes	Torpor	6.32	1456.02	PanTHERIA	Nowak	NA	ADW	NA	"Savage et al. (2004),ÊThe predominance of quarter-power scaling in biology"
Spermophilus perotensis	140	Ground	NA	NA	NA	NA	NA	8.49	759.22	PanTHERIA	Nowak	NA	NA	NA	NA
Spermophilus richardsonii	325.1	Ground	NA	Colonial	NA	Yes	Yes	8.08	386.61	PanTHERIA	Nowak	NA	ADW	NA	ADW
Spermophilus saturatus	NA	Ground	NA	NA	NA	Yes	Yes	4.93	136.99	NA	Nowak	NA	NA	NA	ADW
Spermophilus spilosoma	106.64	Ground	NA	Colonial	NA	Yes	Yes	7.88	18500	PanTHERIA	Nowak	NA	ADW	NA	ADW
Spermophilus tereticaudus	147.57	Ground	NA	Colonial	NA	Yes	Torpor	NA	NA	PanTHERIA	Nowak	NA	ADW	NA	ADW 
Spermophilus townsendii	207.29	Ground	1	Colonial	Colonial	Yes	Yes	4.5	NA	PanTHERIA	Nowak	PanTHERIA	ADW	ADW	ADW
Spermophilus tridecemlineatus	174.91	Ground	1	NonColonial	NA	Yes	Yes	4.99	152.81	PanTHERIA	Nowak	PanTHERIA	ADW	NA	ADW
Spermophilus variegatus	714.58	Ground	NA	Colonial	NA	Yes	Torpor	2.43	NA	PanTHERIA	Nowak	NA	ADW	NA	ADW 
Spermophilus washingtoni	215.09	Ground	NA	Colonial	NA	Yes	Yes	3.88	NA	PanTHERIA	Nowak	NA	ADW	NA	ADW 
Syntheosciurus brochus	124.94	Tree	2	NonColonial	NA	NA	NA	4.89	499.99	PanTHERIA	Nowak	PanTHERIA	PanTHERIA	NA	NA
Tamias alpinus	36.54	Ground	NA	NonColonial	NA	Yes	Yes	4.99	NA	PanTHERIA	Nowak	NA	ADW	NA	ADW
Tamias amoenus	50.63	Ground	NA	NonColonial	NA	Yes	Torpor	2.38	NA	PanTHERIA	Nowak	NA	ADW	NA	"Savage et al. (2004),ÊThe predominance of quarter-power scaling in biology"
Tamias bulleri	100	Ground	NA	NA	NA	NA	NA	4.5	NA	PanTHERIA	Nowak	NA	NA	NA	NA
Tamias canipes	70.2	Ground	NA	NonColonial	NA	Yes	Yes	4.95	221.91	PanTHERIA	Nowak	NA	ADW	NA	ADW
Tamias cinereicollis	61.59	Ground	NA	NonColonial	NA	Yes	Yes	3.49	NA	PanTHERIA	Nowak	NA	ADW	NA	ADW
Tamias dorsalis	63.66	Ground	NA	NonColonial	NA	NA	NA	NA	NA	PanTHERIA	Nowak	NA	ADW	NA	NA
Tamias durangae	84.99	Ground	NA	NA	NA	NA	NA	3.93	NA	PanTHERIA	Nowak	NA	NA	NA	NA
Tamias merriami	74.77	Ground	NA	NonColonial	Colonial	No	No	4.04	NA	PanTHERIA	Nowak	NA	ADW	ADW	ADW
Tamias minimus	42.87	Ground	NA	NonColonial	NA	Yes	Torpor	5.93	52	PanTHERIA	Nowak	NA	ADW	NA	ADW
Tamias obscurus	72.99	Ground	NA	NA	NA	NA	NA	3.92	NA	PanTHERIA	Nowak	NA	NA	NA	NA
Tamias ochrogenys	91.69	Ground	NA	NonColonial	NA	No	No	4.85	NA	PanTHERIA	Nowak	NA	ADW	NA	ADW
Tamias palmeri	60.74	Ground	NA	NonColonial	NA	Yes	Torpor	NA	NA	PanTHERIA	Nowak	NA	ADW	NA	ADW
Tamias panamintinus	51.73	Ground	NA	NonColonial	NA	Yes	Yes	4.37	NA	PanTHERIA	Nowak	NA	ADW	NA	ADW
Tamias quadrimaculatus	83.62	Ground	NA	NonColonial	NA	Yes	Yes	NA	NA	PanTHERIA	Nowak	NA	ADW	NA	"Savage et al. (2004),ÊThe predominance of quarter-power scaling in biology"
Tamias quadrivittatus	57.49	Ground	NA	NonColonial	NA	Yes	Yes	4	NA	PanTHERIA	Nowak	NA	ADW	NA	ADW
Tamias ruficaudus	60.06	Ground	1	NonColonial	NA	NA	NA	4.14	76.48	PanTHERIA	Nowak	PanTHERIA	ADW	NA	NA
Tamias rufus	53.6	Ground	4.5	NonColonial	NA	Yes	Yes	NA	NA	PanTHERIA	Nowak	PanTHERIA	ADW	NA	ADW
Tamias senex	89.35	Ground	NA	Colonial	NA	Yes	Torpor	3.75	260	PanTHERIA	Nowak	NA	ADW	NA	"Savage et al. (2004),ÊThe predominance of quarter-power scaling in biology"
Tamias siskiyou	75	Ground	NA	NonColonial	NA	Yes	Yes	6.8	253.71	PanTHERIA	Nowak	NA	ADW	NA	ADW
Tamias sonomae	75	Ground	NA	NonColonial	NA	NA	NA	5.49	44.28	PanTHERIA	Nowak	NA	ADW	NA	NA
Tamias speciosus	60.83	Ground	NA	NonColonial	NA	Yes	Yes	3.93	174.35	PanTHERIA	Nowak	NA	ADW	NA	ADW
Tamias striatus	93.4	Ground	NA	NonColonial	NA	No	No	NA	NA	PanTHERIA	Nowak	NA	ADW	NA	ADW
Tamias townsendii	79.12	Ground	NA	NonColonial	NA	Yes	Yes	6.32	24.97	PanTHERIA	Nowak	NA	ADW	NA	ADW 
Tamias umbrinus	51.75	Ground	NA	NonColonial	NA	Yes	Torpor	NA	NA	PanTHERIA	Nowak	NA	ADW	NA	ADW
Tamiasciurus douglasii	225	Tree	1	NonColonial	NonColonial	No	No	9.36	NA	PanTHERIA	Nowak	PanTHERIA	ADW	ADW	ADW
Tamiasciurus hudsonicus	200.24	Tree	NA	NonColonial	NonColonial	No	No	8	14.49	PanTHERIA	Nowak	NA	ADW	ADW	ADW 
Tamiasciurus mearnsi	NA	Tree	NA	NA	NA	NA	NA	8.9	NA	NA	Nowak	NA	NA	NA	NA
