MSW05_Binomial	X26.1_GR_Area_km2	X26.2_GR_MaxLat_dd	X26.3_GR_MinLat_dd	X26.4_GR_MidRangeLat_dd	X26.5_GR_MaxLong_dd	X26.6_GR_MinLong_dd	X26.7_GR_MidRangeLong_dd	X27.1_HuPopDen_Min_n.km2	X27.2_HuPopDen_Mean_n.km2	X27.3_HuPopDen_5p_n.km2	X27.4_HuPopDen_Change	X28.1_Precip_Mean_mm	X28.2_Temp_Mean_01degC	X30.1_AET_Mean_mm	X30.2_PET_Mean_mm		
Marmota monax	121472.54	9.41	0.27	4.84	-76.3	-82.67	-79.48	2	37.26	3	0.11	274.1	246.19	1544.07	1697.14		
Marmota olympus	12536.28	7.86	6.09	6.97	-72.4	-73.21	-72.81	9	64.37	9	0.09	106.36	136.27	1400.93	1558.14		
Marmota vancouverensis	31030.21	19.44	17.93	18.68	-99.46	-103	-101.23	9	41.11	14	0.08	95.75	221.76	875.59	1542.28		
Microsciurus alfari	50385.66	21.95	17.82	19.88	-101.57	-105.7	-103.63	7	33.95	8	0.08	91.12	220.28	848.09	1632.38		
Microsciurus flaviventer	176342.04	45.76	38.28	42.02	-108.99	-114.07	-111.53	0	9.42	0	0.07	27.61	30.72	354.89	783.62		
Microsciurus mimulus	12535.95	27.94	24.91	26.42	-110.85	-113.16	-112	1	3.41	1	0.03	9.07	193.81	NA	NA		
Microsciurus santanderensis	459262.56	46.92	29.72	38.32	-114.74	-124.56	-119.65	0	84.68	1	0.09	49.14	103.49	352.34	985.35		
Sciurillus pusillus	337927.66	45.9	36.67	41.29	-113	-122.43	-117.72	0	5.88	0	0.06	30.29	69.7	303.11	853.48		
Sciurus aberti	1287.06	45.09	43.97	44.53	-115.97	-117.13	-116.55	0	19.2	0	0.16	33.43	61.68	310.2	779.73		
Sciurus aestuans	217875.11	43.93	39.13	41.53	-113.37	-121.32	-117.35	0	3.93	0	0.05	22.61	71.09	276.52	817.15		
Sciurus alleni	531930.5	55.15	43.15	49.15	-111.26	-122.39	-116.83	0	4.46	0	0.09	39.96	24.85	369.86	638.37		
Sciurus arizonensis	272232.06	47.7	40.23	43.96	-105.28	-117.52	-111.4	0	3.7	0	0.08	25.88	38.62	357.02	739.42		
Sciurus aureogaster	840125.78	6	-9.88	-1.94	-50.67	-77.54	-64.11	0	1.93	0	0.09	180.19	255	1447.82	1627.2		
Sciurus carolinensis	357095.32	41.26	23.11	32.19	-104.03	-113.55	-108.79	0	12.45	0	0.12	31.32	99.47	515.17	1129.68		
Sciurus colliaei	7070707.36	6.82	-33.71	-13.44	-34.79	-67.72	-51.25	0	27.02	0	0.1	141.91	234.42	1260.72	1502.29		
Sciurus deppei	49149.19	26.5	22.32	24.41	-98.99	-101.63	-100.31	2	48.71	4	0.09	38.04	208	664.71	1136.25		
Sciurus flammifer	39352.69	34.81	30.7	32.75	-108.51	-112.64	-110.57	0	15.51	0	0.09	33.75	145.81	456.43	1292.03		
Sciurus gilvigularis	623903.21	25.63	14.08	19.85	-89.88	-104.85	-97.36	3	97.15	7	0.08	99.6	215.02	1031.95	1534.38		
Sciurus granatensis	4081069.29	53.41	24.94	39.17	-66.06	-108.77	-87.41	0	59.05	1	0.03	78.26	114.03	764.94	862.26		
Sciurus griseus	81663.79	28.81	18.86	23.83	-103.92	-109.89	-106.91	1	29.64	3	0.09	52.37	202.72	788.7	1459.04		
Sciurus ignitus	698811.25	24.5	10.51	17.51	-84.23	-99.82	-92.03	2	60.44	4	0.15	128.91	232.44	1239.69	1591.14		
Sciurus igniventris	47391.27	8.27	5.46	6.86	-62.88	-65.57	-64.23	0	11.3	0	0.08	107.8	233.47	1520.28	1747.71		
Sciurus nayaritensis	1263707.24	6.89	-9.65	-1.38	-46.31	-67.77	-57.04	0	5.79	0	0.11	170.41	249.37	1434.8	1647.59		
Sciurus niger	843476.46	11.35	-1.12	5.11	-61.84	-84.23	-73.04	1	76.78	4	0.11	153.86	233.41	1394.46	1649.1		
Sciurus oculatus	373639.12	48.37	32.45	40.41	-115.41	-124.4	-119.9	1	65.73	1	0.08	51.63	101.43	360.21	954.31		
Sciurus pucheranii	1594152.72	0.04	-24.4	-12.17	-57.78	-78.5	-68.14	0	5.56	0	0.12	149.29	227.78	1277.86	1480.78		
Sciurus pyrrhinus	2245835.89	6.17	-14.35	-4.08	-60.17	-77.81	-68.99	0	2.44	0	0.11	201.79	250.97	1510.23	1562.85		
Sciurus richmondi	250172.16	31.95	19.14	25.54	-102.54	-109.6	-106.07	0	23.75	2	0.11	44.73	148.54	662.41	1349.72		
Sciurus sanborni	4359547.5	51.95	24.94	38.45	-75.05	-109.73	-92.39	0	42.9	1	0.04	71.07	126.75	760.59	916.92		
Sciurus spadiceus	102332.94	22.94	18.7	20.82	-96.93	-101.48	-99.2	10	215.2	26	0.09	73.27	180.91	896.42	1349.84		
Sciurus stramineus	116015.31	8.49	0.65	4.57	-72.12	-77.85	-74.98	2	89.09	7	0.09	148.79	189.52	1483.22	1546.7		
Sciurus variegatoides	63480.04	-10.23	-13.7	-11.97	-71.3	-74.87	-73.09	1	9.74	1	0.09	138.42	211	1152.54	1443.42		
Sciurus yucatanensis	27219.65	13.39	11.91	12.65	-83.62	-85.98	-84.8	2	22.05	2	0.12	202.67	225.16	1350.18	1713.64		
Spermophilus adocetus	104684.03	-11.01	-14.4	-12.7	-69	-72.9	-70.95	0	3.7	1	0.06	309.04	194.93	1427.9	1498.5		
Spermophilus annulatus	2693893.11	0.39	-17.59	-8.59	-54.71	-77.82	-66.26	0	2.5	0	0.16	179.96	251.13	1402.14	1535.56		
Spermophilus armatus	142389.13	-0.89	-6.92	-3.9	-78.29	-81.35	-79.82	0	68.48	4	0.09	73.79	196.87	745.3	1347.59		
Spermophilus atricapillus	396517.47	16.02	7.19	11.61	-79.15	-93.3	-86.22	2	70.87	3	0.14	186.7	232.57	1306.6	1676.96		
Spermophilus beecheyi	222990.16	21.6	15.4	18.5	-86.73	-92.05	-89.39	3	22.04	4	0.21	115.46	246.61	1328.87	1577.71		
Spermophilus beldingi	1657927.29	55.48	37.26	46.37	-86.42	-114.97	-100.69	0	23.62	0	0.01	50.27	65.14	589.35	670.83		
Spermophilus brunneus	1705582.39	56.38	32.63	44.51	-104.01	-124.53	-114.27	0	9.82	0	0.11	33.72	56.81	364.51	829.87		
Spermophilus canus	48758.56	28.93	25.41	27.17	-105.99	-108.4	-107.2	2	6.82	2	0.11	34.24	119.11	706.82	1339.47		
Spermophilus columbianus	718436.33	34.33	18.45	26.39	-96.39	-106.51	-101.45	0	60.09	0	0.08	46.83	191.94	646.58	1218.78		
Spermophilus elegans	18167.56	36.23	34.37	35.3	-116.8	-118.25	-117.52	0	59.07	0	0.15	28.05	115	262.4	1191.51		
Spermophilus franklinii	364932.53	47.09	36.57	41.83	-113.7	-122.02	-117.86	0	2.68	0	0.06	24.56	70.97	280.28	889.93		
Spermophilus lateralis	3944909.1	72	54.79	63.39	149.89	-168.12	-9.11	0	0.13	0	0.04	28.63	-103.6	195.15	227.53		
Spermophilus madrensis	3089.88	19.74	18.95	19.34	-97.03	-97.67	-97.35	92	131.2	92	0.08	127.83	127.66	1051.35	1373.26		
Spermophilus mexicanus	899734.88	55.22	43.56	49.39	-94.87	-115.36	-105.11	0	6.06	0	-0.00104	34.09	34.22	438.3	546.48		
Spermophilus mohavensis	74865.2	50.16	45.72	47.94	-119.89	-122.94	-121.41	0	58.78	0	0.07	82.05	47.08	418.63	646.14		
Spermophilus mollis	1716956	43.69	21.16	32.42	-97.05	-113.76	-105.4	0	13.72	0	0.09	32.64	142.51	502.85	1081.93		
Spermophilus parryii	315363.67	37.02	27.07	32.04	-109.56	-117.36	-113.46	0	24.88	0	0.16	17.01	180.35	289.46	1143.83		
Spermophilus perotensis	11270.71	46.91	45.73	46.32	-119.1	-120.81	-119.95	1	17.78	1	0.17	21.33	99.31	267.45	705.88		
Spermophilus richardsonii	3681287.81	54.9	27.33	41.11	-81.75	-114.7	-98.22	0	23.28	0	0.03	46.7	80.37	569.55	768.96		
Spermophilus saturatus	2421559.89	41.86	18.13	29.99	-97.06	-117.42	-107.24	0	31.12	0	0.11	34.28	148.87	509.99	1149.57		
Spermophilus spilosoma	17288.55	47.57	45.26	46.42	-118.02	-120.41	-119.22	1	10.28	1	0.12	24.37	100.46	266.1	727.52		
Spermophilus tereticaudus	14181.81	10.41	8.62	9.51	-82.33	-84.33	-83.33	9	78.47	9	0.11	241.53	251.58	1424.04	1755		
Spermophilus townsendii	8880.39	37.93	35.97	36.95	-118.13	-119.5	-118.82	1	2.81	1	0.18	51.65	38.3	333.21	1195.7		
Spermophilus tridecemlineatus	1102083.78	54.41	35.74	45.07	-109.33	-127.49	-118.41	0	11.52	0	0.09	41.42	48.78	354.53	732.2		
Spermophilus variegatus	9834.59	23.86	22.57	23.21	-103.4	-104.58	-103.99	4	12.76	4	0.02	44.11	134.11	634.66	1288.28		
Spermophilus washingtoni	18973.09	34.19	31.13	32.66	-104.5	-106.01	-105.26	0	1.49	0	0.03	23.35	133.91	383.99	1139.88		
Syntheosciurus brochus	74328.35	35.2	32.05	33.63	-106.25	-112.52	-109.39	0	12.82	0	0.17	28.88	133.11	420.7	1208.94		
Tamias alpinus	633707.83	42.53	25.22	33.88	-105.13	-117.31	-111.22	0	10.76	0	0.14	24.41	116.88	407.56	1114.97		
Tamias amoenus	48090.07	26.42	23.16	24.79	-100.13	-107.03	-103.58	2	16.22	2	0.07	44.34	129.72	715.4	1262.64		
Tamias bulleri	91618.34	38.68	32.41	35.54	-116.04	-122.51	-119.28	1	127.56	1.5	0.09	39.04	110.71	336.58	1156.49		
Tamias canipes	5236816	66.37	34.57	50.47	-79.06	-139.69	-109.38	0	3.98	0	0.05	35.4	7.46	360.76	548.93		
Tamias cinereicollis	18069.88	34.4	27.4	30.9	-113	-117.1	-115.05	1	33.63	1	0.13	15.57	134.59	278.01	1178.41		
Tamias dorsalis	9548.52	40.59	38.12	39.36	-122.72	-124.4	-123.56	2	28.6	2	0.02	68.08	104.97	378.07	1072.85		
Tamias durangae	2237.62	36.64	36.03	36.33	-115.42	-116.22	-115.82	1	73.78	1	0.36	4.79	142.2	161.13	1129.45		
Tamias merriami	37448.25	39.06	34.85	36.95	-115.21	-119.64	-117.42	0	11.28	0	0.11	22.24	108.96	212.27	1140.4		
Tamias minimus	25579.83	40.28	37.36	38.82	-119.25	-121.34	-120.3	1	13.17	2	0.13	56.96	79.65	379.53	1045.01		
Tamias obscurus	297454.17	40.98	35.14	38.06	-102.69	-110.88	-106.79	0	12.55	0	0.13	26.84	66.5	437.03	952.03		
Tamias ochrogenys	147756.79	50.52	44.95	47.73	-112.28	-118.08	-115.18	0	5.63	0	0.12	52.71	32.81	411.97	685.73		
Tamias palmeri	142587.25	40.83	36.18	38.51	-106.26	-111.75	-109	0	2.46	0	0.13	20.81	60.34	368.14	969.87		
Tamias panamintinus	99452.58	44.94	37.32	41.13	-118.81	-124.34	-121.57	0	9.41	0	0.06	54.63	77.64	363.14	910.77		
Tamias quadrimaculatus	22545.56	44.36	41.25	42.81	-121.73	-124.43	-123.08	1	7.95	1	0.1	80.33	71	417.77	770.7		
Tamias quadrivittatus	45834.06	41.88	37.81	39.85	-121.14	-124.05	-122.59	1	73.6	1	0.04	59.13	96.56	383.5	939.23		
Tamias ruficaudus	67913.09	40.6	33.65	37.12	-116.48	-121.81	-119.15	0	68.21	1	0.1	45.47	87.77	337.35	1101.98		
Tamias rufus	4195169.73	51.67	29.9	40.78	-60.96	-103.88	-82.42	0	47.54	0	0.03	74.79	84.12	676.52	743.19		
Tamias senex	151998.14	49.31	42.4	45.85	-120.18	-124.73	-122.45	0	59.68	1	0.09	100.27	73.13	444.55	685.32		
Tamias siskiyou	295809.41	45.41	36.07	40.74	-105.24	-118.84	-112.04	0	8.76	0	0.12	23.67	47.51	338.07	892.88		
Tamias sonomae	491601.94	52.31	35.49	43.9	-117.95	-127.89	-122.92	0	37.6	0	0.08	70.9	73.59	385.3	794.8		
Tamias speciosus	10315248.73	67.78	32.3	50.04	-55.61	-168.12	-111.87	0	17.76	0	0.04	49.99	0.77	394.1	493.94		
Tamias striatus	2768.05	32.22	31.56	31.89	-115.09	-115.63	-115.36	5	22.2	5	0.23	11	158.19	197.71	1178.21		
Tamias townsendii	270261.06	36.14	28.33	32.24	-108.43	-114.73	-111.58	0	15.76	0	0.16	23.55	179.11	350.84	1173.24		
Tamias umbrinus	82.65	24.53	24.39	24.46	-110.29	-110.39	-110.34	14	14	14	0.07	18	225	NA	NA		
Tamiasciurus douglasii	313517.36	35.51	24.72	30.12	-100.81	-107.46	-104.13	0	12.23	0	0.08	24.76	177.02	422.94	1097.07		
Tamiasciurus hudsonicus	990897.69	44.14	22.86	33.5	-106.3	-120.49	-113.4	0	18	0	0.12	20.15	101.92	303.7	993.59		
Tamiasciurus mearnsi	4125.09	36.75	34.79	35.77	-119.24	-120.84	-120.04	2	16.93	2	0.08	40.84	133.54	333.23	1209.25		
