HostCorrectedName	ParasiteCorrectedName	LocationName	Citation
Spermophilus pygmaeus	Eulaelaps stabularis	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Hypoaspis sardous	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Hypoaspis heselhausi	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Hypoaspis sp.	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Haemogamasus mandschuricus	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Hirstionyssus criceti	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Parasitus remberti	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Parasitus oudemansi	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Gamasodes spiniger	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Gamasodes micherdzinskii	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Macrocheles matrius	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Macrocheles decoloratus	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Pachylaelaps sp.	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Proctolaelaps pygmaeus	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Cyrtolaelaps chiropterae	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Dendrolaelaps disetosimils	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Euryparasitus emarginatus	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Halolaelaps sp.	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Prozercon sp.	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Trichouropoda sp.	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Ceratophyllus tesquorum	CASPIAN LOWLAND, North Eastern part	Samurov, 1991
Spermophilus sp.	Citellophilus simplex	TURKEY	Cyprich, 1989
Spermophilus sp.	Citellophilus simplex	Latovka, Kherson Region	Cyprich, 1989
Spermophilus suslicus	Citellophilus simplex	MOLDAVIA	Cyprich, 1989
Spermophilus tridecemlineatus	Thrassis brennani	Fort Sam Houston, Bexar County	Augustson 1944
Spermophilus tridecemlineatus	Physaloptera spinicauda	Not reported	Babero 1973
Spermophilus tridecemlineatus	Toxoplasma gondii	Not reported	Bangari et al., 2007 
Spermophilus undulatus	Taenia solium	Baikal Lake Basin, Buryatskaya	Shalaeva et al., 1987
Spermophilus undulatus	Mesocestoides lineatus	Ulan-Udensky Region	Shalaeva et al., 1987
Spermophilus undulatus	Paranoplocephala transversaria	Baikal Lake Basin, Buryatskaya	Shalaeva et al., 1987
Spermophilus undulatus	Anoplocephaloides dentata	Baikal Lake Basin, Buryatskaya	Shalaeva et al., 1987
Spermophilus undulatus	Paranoplocephala macrocephala	Ulan-Udensky Region	Shalaeva et al., 1987
Spermophilus undulatus	Ctenotaenia citelli	Baikal Lake Basin, Buryatskaya	Shalaeva et al., 1987
Spermophilus undulatus	Catenotaenia cricetorum	Baikal Lake Basin, Buryatskaya	Shalaeva et al., 1987
Spermophilus undulatus	Hymenolepis megaloon	Baikal Lake Basin, Buryatskaya	Shalaeva et al., 1987
Spermophilus undulatus	Hymenolepis diminuta	Ulan-Udensky Region	Shalaeva et al., 1987
Spermophilus undulatus	Baylisascaris laevis	Baikal Lake Basin, Buryatskaya	Shalaeva et al., 1987
Spermophilus undulatus	Ascaris tarbagan	Baikal Lake Basin, Buryatskaya	Shalaeva et al., 1987
Spermophilus undulatus	Protospirura suslica	Baikal Lake Basin, Buryatskaya	Shalaeva et al., 1987
Spermophilus undulatus	Mastophorus muris	Baikal Lake Basin, Buryatskaya	Shalaeva et al., 1987
Spermophilus undulatus	Streptopharagus kutassi	Baikal Lake Basin, Buryatskaya	Shalaeva et al., 1987
Spermophilus undulatus	Subulura citelli	Baikal Lake Basin, Buryatskaya	Shalaeva et al., 1987
Spermophilus undulatus	Physaloptera citelli	Baikal Lake Basin, Buryatskaya	Shalaeva et al., 1987
Spermophilus undulatus	Physaloptera massino	Baikal Lake Basin, Buryatskaya	Shalaeva et al., 1987
Spermophilus undulatus	Capillaria armeniaca	Baikal Lake Basin, Buryatskaya	Shalaeva et al., 1987
Spermophilus undulatus	Trichuris citellorum	Baikal Lake Basin, Buryatskaya	Shalaeva et al., 1987
