HostCorrectedName	ParasiteCorrectedName	LocationName	Citation
Sciurus carolinensis	Dermacentor variabilis	Piney Campground, Land Between the Lakes, Tennessee	Burgdorfer et al 1974
Sciurus carolinensis	Dermacentor albipictus	Piney Campground, Land Between the Lakes, Tennessee	Burgdorfer et al 1974
Sciurus carolinensis	Haemaphysalis verticalis	Piney Campground, Land Between the Lakes, Tennessee	Burgdorfer et al 1974
Sciurus carolinensis	Amblyomma americanum	Piney Campground, Land Between the Lakes, Tennessee	Burgdorfer et al 1974
Sciurus carolinensis	Rabies virus	Not reported	Cappucci et al 1972
Sciurus carolinensis	Notoedres sp.	Massachusetts	Carlson et al 1982
Sciurus carolinensis	Ctenophthalmus pseudagyrtes	Percy Quin State Park, Pike County	Clark&Durden 2002
Sciurus carolinensis	Androlaelaps fahrenholzi	Percy Quin State Park, Pike County	Clark&Durden 2002
Sciurus carolinensis	Dermacentor variabilis	Percy Quin State Park, Pike County	Clark&Durden 2002
Sciurus carolinensis	Amblyomma maculatum	Percy Quin State Park, Pike County	Clark&Durden 2002
Sciurus carolinensis	Cuterebra fontinella	Percy Quin State Park, Pike County	Clark&Durden 2002
Sciurus carolinensis	Ixodes scapularis	Percy Quin State Park, Pike County	Clark&Durden 2002
Sciurus carolinensis	Moniliformis clarki	Jacksonville, Florida	Conti et al 1984
Sciurus carolinensis	Strongyloides robustus	Jacksonville, Florida	Conti et al 1984
Sciurus carolinensis	Heligmodendrium hassalli	Jacksonville, Florida	Conti et al 1984
Sciurus carolinensis	Syphacia thompsoni	Jacksonville, Florida	Conti et al 1984
Sciurus carolinensis	Dipetalonema interstitium	Jacksonville, Florida	Conti et al 1984
Sciurus carolinensis	Trichostrongylus calcaratus	Jacksonville, Florida	Conti et al 1984
Sciurus carolinensis	Physaloptera sp.	Jacksonville, Florida	Conti et al 1984
Sciurus carolinensis	Raillietina bakeri	Jackson County, Oklahoma	Conti et al 1984
Sciurus carolinensis	Strongyloides robustus	Not reported	Conti et al 1984
Sciurus carolinensis	Heligmodendrium hassalli	Not reported	Conti et al 1984
Sciurus carolinensis	Heligmodendrium hassalli	Southeastern United States	Coyner et al 1996
Sciurus carolinensis	Toxoplasma gondii	Kansas	Dabritz et al 2008
Sciurus carolinensis	Neohaematopinus sciuri	New York	Dansby & Shoemaker 1971
Sciurus carolinensis	Neohaematopinus sciuri	Rhode Island	Dansby & Shoemaker 1971
Sciurus carolinensis	Neohaematopinus sciuri	Maryland	Dansby & Shoemaker 1971
Sciurus carolinensis	Neohaematopinus sciuri	District of Columbia	Dansby & Shoemaker 1971
Sciurus carolinensis	Neohaematopinus sciuri	Virginia	Dansby & Shoemaker 1971
Sciurus carolinensis	Neohaematopinus sciuri	North Carolina	Dansby & Shoemaker 1971
Sciurus carolinensis	Neohaematopinus sciuri	Georgia	Dansby & Shoemaker 1971
Sciurus carolinensis	Neohaematopinus sciuri	Florida	Dansby & Shoemaker 1971
Sciurus carolinensis	Neohaematopinus sciuri	Mississippi State	Dansby & Shoemaker 1971
Sciurus carolinensis	Neohaematopinus sciuri	Ohio	Dansby & Shoemaker 1971
Sciurus carolinensis	Neohaematopinus sciuri	Mason County, West Virginia	Dansby & Shoemaker 1971
Sciurus carolinensis	Enderleinellus longiceps	Mingo County, West Virginia	Dansby & Shoemaker 1971
Sciurus carolinensis	Dirofilariaeformia pulmoni	Dorchester County, Maryland	Davidson 1975
Sciurus carolinensis	Dirofilariaeformia pulmoni	Trigg County, Kentucky	Davidson 1975
Sciurus carolinensis	Eimeria confusa	Southeastern United States	Davidson 1976
Sciurus carolinensis	Eimeria ontarioensis	Southeastern United States	Davidson 1976
Sciurus carolinensis	Eimeria ontarioensis	Southeastern United States	Davidson 1976
Sciurus granatensis	Leishmania braziliensis	Tropical rainforest near Naranjal	Grimaldi, Jr. et al., 1992
Sciurus granatensis	Leishmania chagasi	Coloso Primate Reserve	Travi et al., 1998
Sciurus granatensis	Leishmania braziliensis	Tropical rainforest near Naranjal	Hashiguchi et al., 1985
Sciurus granatensis	Leishmania braziliensis	Ocaña	Hashiguchi et al., 1985
Sciurus granatensis	Leishmania sp.	Ecuador	Katakura et al., 2003
Sciurus granatensis	Endotrypanum sp.	Ecuador	Katakura et al., 2003
Sciurus granatensis	Trypanosoma cruzi	El Hurtado, Barinas	Anez et al., 2009
Sciurus granatensis	Endotrypanum sp.	Pacific region of Ecuador	Calvopina et al 2004
Sciurus griseus	Eimeria tamiasciuri	Riverside County, California	Hill & Duszynski, 1986
Sciurus griseus	Eimeria sp.	California	Hill & Duszynski, 1986
Sciurus griseus	Notoedres centrifera	UNITED STATES	Cornish et al., 2001
Sciurus griseus	Notoedres centrifera	Eldorado National Forest, California	Cornish et al., 2001
Sciurus griseus	Notoedres centrifera	Klickitat County, Washington	Cornish et al., 2001
Sciurus griseus	Notoedres centrifera	Klickitat County, Washington	Cornish et al., 2001
Sciurus griseus	Notoedres centrifera	Klickitat County, Washington	Cornish et al., 2001
Sciurus griseus	Notoedres centrifera	Klickitat County, Washington	Cornish et al., 2001
Sciurus griseus	Orchopeas nepos	Washington	Eads et al., 1985
Sciurus griseus	Orchopeas nepos	California	Eads et al., 1985
Sciurus griseus	Orchopeas latens	Santa Cruz County, California	Eads et al., 1985
Sciurus griseus	Orchopeas latens	Monterey County, California	Eads et al., 1985
Sciurus griseus	Orchopeas dieteri	Los Angeles County, California	Eads et al., 1985
Sciurus griseus	Orchopeas latens	San Mateo County, California	Eads et al., 1985
Sciurus griseus	Orchopeas howardii	San Mateo County, California	Eads et al., 1985
Sciurus griseus	Opisodasys enoplus	San Bernardino County, California	Eads et al., 1985
Sciurus griseus	Orchopeas latens	San Mateo County, California	Eads et al., 1985
Sciurus griseus	Orchopeas nepos	California	Eads et al., 1985
Sciurus griseus	Orchopeas dieteri	Riverside County, California	Eads et al., 1985
Sciurus griseus	Syphacia thompsoni	Southeastern United States	Pung et al., 2000
Sciurus griseus	Strongyloides robustus	Southeastern United States	Pung et al., 2000
Sciurus griseus	Moniliformis clarki	Alabama	Pung et al., 2000
Sciurus griseus	Eimeria tamiasciuri	NORTH AMERICA	Wilber et al., 1998
Sciurus griseus	Orchopeas nepos	Oregon	Eads et al., 1985
Sciurus griseus	Orchopeas nepos	California	Eads et al., 1985
Sciurus griseus	Orchopeas latens	Santa Cruz County, California	Eads et al., 1985
Sciurus griseus	Orchopeas latens	Butte County, California	Eads et al., 1985
Sciurus griseus	Orchopeas latens	Riverside County, California	Eads et al., 1985
Sciurus griseus	Orchopeas nepos	Mendocino County, California	Eads et al., 1985
Sciurus griseus	Orchopeas nepos	Napa County, California	Eads et al., 1985
Sciurus griseus	Orchopeas nepos	San Luis Obispo County	Eads et al., 1985
Sciurus griseus	Orchopeas nepos	Siskiyou County, California	Eads et al., 1985
Sciurus griseus	Orchopeas nepos	Butte County, California	Eads et al., 1985
Sciurus griseus	Orchopeas nepos	Calaveras County, California	Eads et al., 1985
Sciurus griseus	Moniliformis clarki	Florida	Pung et al., 2000
Sciurus griseus	Moniliformis clarki	South Carolina	Pung et al., 2000
Sciurus griseus	Toxoplasma gondii	Not reported	Bangari et al., 2007 
Sciurus griseus	Notoedres douglasi	Eldorado National Forest, California	Carlson et al 1982
Sciurus aestuans	Eimeria botelhoi	Brazil	Hill & Duszynski, 1986
Sciurus niger	Lyssavirus sp.	UNITED STATES	Childs et al., 1997
Sciurus niger	Yersinia pestis	Laramie, Wyoming	Ubico et al., 1988
Sciurus niger	Eimeria ascotensis	Indiana	Hill & Duszynski, 1986
Sciurus niger	Eimeria lancasterensis	Indiana	Hill & Duszynski, 1986
Sciurus niger	Eimeria ontarioensis	Indiana	Hill & Duszynski, 1986
Sciurus niger	Eimeria sciurorum	Indiana	Hill & Duszynski, 1986
Sciurus niger	Ixodes scapularis	Wisconsin	Godsey, Jr. et al., 1987
Sciurus niger	Strongyloides robustus	Texas	Patrick, 1991a
Sciurus niger	Strongyloides robustus	Dorchester County, Maryland	Patrick, 1991a
Sciurus niger	Strongyloides robustus	UNITED STATES	Patrick, 1991a
Sciurus niger	Strongyloides robustus	Kansas	Patrick, 1991a
Sciurus niger	Amblyomma americanum	Kansas	Brillhart et al., 1994
Sciurus niger	Dermacentor variabilis	Kansas	Brillhart et al., 1994
Sciurus niger	Enderleinellus longiceps	UNITED STATES	Durden et al., 1997
Sciurus niger	Orchopeas howardii	Tennessee	Durden & Kollars, Jr., 1997
Sciurus niger	Notoedres centrifera	UNITED STATES	Cornish et al., 2001
Sciurus niger	Enterobius sciuri	Not reported	Patrick & Wilson, 1995
Sciurus niger	Orchopeas howardii	Not reported	Eads et al., 1985
Sciurus niger	Strongyloides robustus	Texas	Bartlett, 1995
Sciurus niger	Strongyloides robustus	Florida	Pung et al., 2000
Sciurus niger	Moniliformis clarki	Florida	Pung et al., 2000
Sciurus niger	Cediopsylla simplex	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Sciurus niger	Ctenocephalides canis	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Sciurus niger	Ctenocephalides felis	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Sciurus niger	Pulex irritans	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Sciurus niger	Chaetopsylla lotoris	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Sciurus niger	Conorhinopsylla stanfordi	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Sciurus niger	Corrodopsylla curvata	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Sciurus niger	Ctenophthalmus pseudagyrtes	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Sciurus niger	Epitedia wenmanni	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Sciurus niger	Tamiophila grandis	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Sciurus niger	Megabothris acerbus	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Sciurus niger	Megabothris asio	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Sciurus niger	Megabothris sp.	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Sciurus niger	Oropsylla bruneri 	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Sciurus niger	Orchopeas howardii	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Sciurus niger	Orchopeas leucopus	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Sciurus niger	Oropsylla arctomys	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Sciurus niger	Orchopeas howardii	Iowa	Amin, 1976b
Sciurus niger	Strongyloides robustus	Maryland	Bartlett, 1995
Sciurus niger	Strongyloides robustus	Michigan	Bartlett, 1995
Sciurus niger	Strongyloides robustus	Wisconsin	Bartlett, 1995
Sciurus niger	Strongyloides robustus	Kansas	Bartlett, 1995
Sciurus niger	Strongyloides robustus	Tennessee	Bartlett, 1995
Sciurus niger	Strongyloides robustus	Virginia	Bartlett, 1995
Sciurus niger	Lyssavirus sp.	California	Fishbein et al., 1986
Sciurus niger	Hoplopleura sciuricola	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976a
Sciurus niger	Squirrel fibroma virus	Not reported	Bangari et al., 2009
Sciurus niger	Orchopeas howardii	Colorado	Barnes, 1993
Sciurus niger	Orchopeas howardii	Wyoming	Barnes, 1993
Sciurus niger	Orchopeas howardii	California	Barnes, 1993
Sciurus niger	West Nile virus	Western, central and eastern Iowa	Blitvich et al 2009
Sciurus niger	Rickettsia rickettsii	Piney Campground, Land Between the Lakes, Tennessee	Burgdorfer et al 1974
Sciurus niger	Rickettsia typhi	Piney Campground, Land Between the Lakes, Tennessee	Burgdorfer et al 1974
Sciurus niger	Rickettsia prowazekii	Piney Campground, Land Between the Lakes, Tennessee	Burgdorfer et al 1974
Sciurus niger	Rickettsia canadensis	Piney Campground, Land Between the Lakes, Tennessee	Burgdorfer et al 1974
Sciurus niger	Francisella tularensis	Piney Campground, Land Between the Lakes, Tennessee	Burgdorfer et al 1974
Sciurus niger	Dermacentor variabilis	Piney Campground, Land Between the Lakes, Tennessee	Burgdorfer et al 1974
Sciurus niger	Amblyomma americanum	Piney Campground, Land Between the Lakes, Tennessee	Burgdorfer et al 1974
Sciurus niger	Haemaphysalis verticalis	Piney Campground, Land Between the Lakes, Tennessee	Burgdorfer et al 1974
Sciurus niger	Dermacentor albipictus	Piney Campground, Land Between the Lakes, Tennessee	Burgdorfer et al 1974
Sciurus niger	Rabies virus	San Leandro, Alameda County, California	Cappucci et al 1972
Sciurus niger	Moniliformis clarki	Florida	Coyner et al 1996
Sciurus niger	Raillietina bakeri	Florida	Coyner et al 1996
Sciurus niger	Strongyloides robustus	Florida	Coyner et al 1996
Sciurus niger	Heligmodendrium hassalli	Florida	Coyner et al 1996
Sciurus niger	Citellinema bifurcatum	Florida	Coyner et al 1996
Sciurus niger	Dipetalonema interstitium	Florida	Coyner et al 1996
Sciurus niger	Physaloptera massino	Florida	Coyner et al 1996
Sciurus niger	Syphacia thompsoni	Florida	Coyner et al 1996
Sciurus niger	Gongylonema pulchrum	Florida	Coyner et al 1996
Sciurus niger	Trichostrongylus calcaratus	Florida	Coyner et al 1996
Sciurus niger	Bohmiella wilsoni	Florida	Coyner et al 1996
Sciurus niger	Orchopeas howardii	Florida	Coyner et al 1996
Sciurus niger	Neohaematopinus sciuri	Florida	Coyner et al 1996
Sciurus niger	Hoplopleura sciuricola	Florida	Coyner et al 1996
Sciurus niger	Enderleinellus longiceps	Florida	Coyner et al 1996
Sciurus niger	Androlaelaps casalis	Florida	Coyner et al 1996
Sciurus niger	Amblyomma americanum	Florida	Coyner et al 1996
Sciurus niger	Neotrombicula whartoni	Florida	Coyner et al 1996
Sciurus niger	Eushoengastia diversa	Florida	Coyner et al 1996
Sciurus niger	Cuterebra sp.	Florida	Coyner et al 1996
Sciurus niger	Heligmodendrium hassalli	Texas	Coyner et al 1996
Sciurus niger	Heligmodendrium hassalli	Maryland	Coyner et al 1996
Sciurus niger	Heligmodendrium hassalli	Virginia	Coyner et al 1996
Sciurus niger	Moniliformis clarki	Putnam County, Florida	Coyner et al 1996
Sciurus niger	Toxoplasma gondii	Kansas	Dabritz et al 2008
Sciurus niger	Hoplopleura sciuricola	Mason County, West Virginia	Dansby & Shoemaker 1971
Spermophilus richardsonii	Strongyloides robustus	Saskatchewan	Patrick, 1991a
Sciurus sp.	Lyssavirus sp.	Maryland	Moro et al., 1991
Sciurus sp.	Hoplopleura sciuricola	UNITED STATES	Durden et al., 1997
Spermophilus tridecemlineatus	Strongyloides robustus	Saskatchewan	Patrick, 1991a
Spermophilus tridecemlineatus	Lyssavirus sp.	Texas	Fishbein et al., 1986
Spermophilus tridecemlineatus	Toxoplasma gondii	Kansas	Dabritz et al 2008
Sciurus vulgaris	Eimeria andrewsi	BULGARIA	Hill & Duszynski, 1986
Sciurus vulgaris	Eimeria franchinii	Italy	Hill & Duszynski, 1986
Sciurus vulgaris	Eimeria luiseri	Switzerland	Hill & Duszynski, 1986
Sciurus vulgaris	Eimeria botelhoi	BULGARIA	Hill & Duszynski, 1986
Sciurus vulgaris	Eimeria ascotensis	Czechoslovakia	Hill & Duszynski, 1986
Sciurus vulgaris	Eimeria sciurorum	BULGARIA	Hill & Duszynski, 1986
Sciurus vulgaris	Eimeria sciurorum	YUGOSLAVIA	Hill & Duszynski, 1986
Sciurus vulgaris	Eimeria silvana	BULGARIA	Hill & Duszynski, 1986
Sciurus vulgaris	Leishmaniavirus sp.	Palenque, Department of Los Rios	Mimori et al., 1989
Sciurus vulgaris	Rickettsia typhi	EUROPE	Trilar et al., 1994
Sciurus vulgaris	Cardiovirus sp.	GREAT BRITAIN	Amaddeo et al., 1995
Sciurus vulgaris	Neohaematopinus sciuri	UNITED STATES	Durden et al., 1997
Sciurus vulgaris	Bartonella sp.	Formby Sands	Bown et al., 2002
Sciurus vulgaris	Dicrocoelium dendriticum	Brest and Gomel regions	Shimalov & Shimalov, 2002
Sciurus vulgaris	Rubenstrema exasperatum	Brest and Gomel regions	Shimalov & Shimalov, 2002
Sciurus vulgaris	Catenotaenia dendritica	Brest and Gomel regions	Shimalov & Shimalov, 2002
Sciurus vulgaris	Cladotaenia globifera	Brest and Gomel regions	Shimalov & Shimalov, 2002
Sciurus vulgaris	Hymenolepis horrida	Brest and Gomel regions	Shimalov & Shimalov, 2002
Sciurus vulgaris	Taenia crassiceps	Brest and Gomel regions	Shimalov & Shimalov, 2002
Sciurus vulgaris	Aspiculuris tetraptera	Brest and Gomel regions	Shimalov & Shimalov, 2002
Sciurus vulgaris	Capillaria hepatica	Brest and Gomel regions	Shimalov & Shimalov, 2002
Sciurus vulgaris	Mastophorus muris	Brest and Gomel regions	Shimalov & Shimalov, 2002
Sciurus vulgaris	Pterothominx sadovskoi	Brest and Gomel regions	Shimalov & Shimalov, 2002
Sciurus vulgaris	Syphacia sp.	Brest and Gomel regions	Shimalov & Shimalov, 2002
Sciurus vulgaris	Pasteurella multocida	SWEDEN	Morner, 1999
Sciurus vulgaris	Isospora sp.	SWEDEN	Morner, 1999
Sciurus vulgaris	Parapoxvirus sp.	East Anglia	Sainsbury & Gurnell, 1995
Sciurus vulgaris	Eimeria sciurorum	BRITISH ISLES	Sainsbury & Gurnell, 1995
Sciurus vulgaris	Eimeria silvana	BRITISH ISLES	Sainsbury & Gurnell, 1995
Sciurus vulgaris	Tarsopsylla octodecimdentata	Poljanska Dolina	Brelih & Trilar, 2000
Sciurus vulgaris	Ceratophyllus sciurorum	Cerkno	Brelih & Trilar, 2000
Sciurus vulgaris	Trichostrongylus retortaeformis	SPAIN	Alvarez et al., 1988
Sciurus vulgaris	Ixodes ricinus	Canton Neuchatel and Jura	Humair & Gern, 1998
Sciurus vulgaris	Borrelia burgdorferi	Canton Neuchatel and Jura	Humair & Gern, 1998
Sciurus vulgaris	Ceratophyllus sciurorum	Riding Mill	Jessop, 1993
Sciurus vulgaris	Tarsopsylla octodecimdentata	Riding Mill	Jessop, 1993
Sciurus vulgaris	Morbillivirus sp.	Not reported	Pastoret et al., 1991
Sciurus vulgaris	Enderleinellus nitzschi	CZECHOSLOVAKIA	Preisler, 1985
Sciurus vulgaris	Neohaematopinus sciuri	CZECHOSLOVAKIA	Preisler, 1985
Sciurus vulgaris	Parapoxvirus sp.	Cumbria	Sainsbury et al., 2000
Sciurus vulgaris	Parapoxvirus sp.	Northumberland	Sainsbury et al., 2000
Sciurus vulgaris	Parapoxvirus sp.	UNITED KINGDOM	Duff et al., 1996
Sciurus vulgaris	Orchopeas howardii	New York	Amin, 1976b
Sciurus vulgaris	Tarsopsylla octodecimdentata	Ljubljana, environs, Solvenija	Brelih & Trilar, 2000
Sciurus vulgaris	Tarsopsylla octodecimdentata	Sencur, Voglje	Brelih & Trilar, 2000
Sciurus vulgaris	Ceratophyllus sciurorum	Ljubljana: Vrhovci	Brelih & Trilar, 2000
Sciurus vulgaris	Ceratophyllus sciurorum	Kranj, Milje	Brelih & Trilar, 2000
Sciurus vulgaris	Ceratophyllus sciurorum	Sencur, Voglje	Brelih & Trilar, 2000
Sciurus vulgaris	Ceratophyllus sciurorum	Gameljne, Slovenija	Brelih & Trilar, 2000
Sciurus vulgaris	Ceratophyllus sciurorum	Orjen 	Brelih & Trilar, 2000
Sciurus vulgaris	Ceratophyllus sciurorum	Deliblatska Pescara: Kremenjak	Brelih & Trilar, 2000
Sciurus vulgaris	Ceratophyllus sciurorum	Tara Planina: Predov Krst	Brelih & Trilar, 2000
Sciurus vulgaris	Parapoxvirus sp.	Cumbria	Sainsbury et al., 2000
Sciurus vulgaris	Parapoxvirus sp.	Northumberland	Sainsbury et al., 2000
Sciurus vulgaris	Parapoxvirus sp.	Lancashire	Sainsbury et al., 2000
Sciurus vulgaris	Parapoxvirus sp.	Thetford Chase	Sainsbury et al., 2000
Sciurus vulgaris	Eimeria andrewsi	CZECHOSLOVAKIA	Hill & Duszynski, 1986
Sciurus vulgaris	Eimeria andrewsi	ENGLAND	Hill & Duszynski, 1986
Sciurus vulgaris	Eimeria andrewsi	HUNGARY	Hill & Duszynski, 1986
Sciurus vulgaris	Eimeria andrewsi	SOVIET UNION	Hill & Duszynski, 1986
Sciurus vulgaris	Eimeria botelhoi	CZECHOSLOVAKIA	Hill & Duszynski, 1986
Sciurus vulgaris	Eimeria botelhoi	HUNGARY	Hill & Duszynski, 1986
Sciurus vulgaris	Eimeria botelhoi	GERMANY	Hill & Duszynski, 1986
Sciurus vulgaris	Eimeria sciurorum	SWITZERLAND	Hill & Duszynski, 1986
Sciurus vulgaris	Eimeria sciurorum	HUNGARY	Hill & Duszynski, 1986
Sciurus vulgaris	Eimeria sciurorum	SOVIET UNION	Hill & Duszynski, 1986
Sciurus vulgaris	Eimeria sciurorum	CZECHOSLOVAKIA	Hill & Duszynski, 1986
Sciurus vulgaris	Eimeria sciurorum	HUNGARY	Hill & Duszynski, 1986
Sciurus vulgaris	La Crosse virus	Massachusetts	Armstrong & Andreadis, 2006
Sciurus vulgaris	Citellina triradiata	Not reported	Babero 1973
Sciurus vulgaris	Toxoplasma gondii	Not reported	Bangari et al., 2007 
Sciurus vulgaris	Leishmania amazonensis	Chimborazo	Calvopina et al 2004
Spermophilus alashanicus	Citellophilus tesquorum	Qinghai Province	Wang & Xiao, 1987
Spermophilus alashanicus	Frontopsylla elatoides	Qinghai Province	Wang & Xiao, 1987
Spermophilus alashanicus	Neopsylla abagaitui	Qinghai Province	Wang & Xiao, 1987
Spermophilus armatus	Eimeria lateralis	Utah	Seville & Williams, 1989
Spermophilus armatus	Eimeria lateralis	Montana	Seville & Williams, 1989
Spermophilus armatus	Aetheca wagneri	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Spermophilus armatus	Aetheca wagneri	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Spermophilus armatus	Hystrichopsylla dippiei	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Spermophilus armatus	Hystrichopsylla dippiei	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Spermophilus armatus	Neopsylla inopina	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Spermophilus armatus	Neopsylla inopina	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Spermophilus armatus	Oropsylla tuberculata	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Spermophilus armatus	Oropsylla tuberculata	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Spermophilus armatus	Rhadinopsylla fraterna	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Spermophilus armatus	Rhadinopsylla fraterna	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Spermophilus armatus	Callistopsyllus sp.	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Spermophilus armatus	Callistopsyllus sp.	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Spermophilus armatus	Pleochaetis exilis	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Spermophilus armatus	Pleochaetis exilis	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Spermophilus armatus	Foxella ignota	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Spermophilus armatus	Foxella ignota	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Spermophilus armatus	Yersinia pestis	Yellowstone National Park, Wyoming	Ubico et al., 1988
Spermophilus armatus	Oropsylla tuberculata	Meeteetse, Park County, Wyoming3	Ubico et al., 1988
Spermophilus armatus	Oropsylla labis 	Meeteetse, Park County, Wyoming3	Ubico et al., 1988
Spermophilus armatus	Neopsylla inopina	Meeteetse, Park County, Wyoming3	Ubico et al., 1988
Spermophilus armatus	Rhadinopsylla sectilis	Meeteetse, Park County, Wyoming3	Ubico et al., 1988
Spermophilus armatus	Oropsylla idahoensis	Meeteetse, Park County, Wyoming3	Ubico et al., 1988
Spermophilus armatus	Hystrichopsylla dippiei	Meeteetse, Park County, Wyoming3	Ubico et al., 1988
Spermophilus armatus	Aetheca wagneri	Meeteetse, Park County, Wyoming3	Ubico et al., 1988
Spermophilus armatus	Aetheca exilis	Meeteetse, Park County, Wyoming3	Ubico et al., 1988
Spermophilus armatus	Thrassis pandorae	Meeteetse, Park County, Wyoming3	Ubico et al., 1988
Spermophilus armatus	Rhadinopsylla fraterna	Meeteetse, Park County, Wyoming3	Ubico et al., 1988
Spermophilus armatus	Eimeria lateralis	Southeastern Utah	Shults et al., 1990
Spermophilus armatus	Eimeria lateralis	Montana	Shults et al., 1990
Spermophilus armatus	Eimeria cynomysis	Southeastern Utah	Shults et al., 1990
Spermophilus armatus	Eimeria cynomysis	Southeastern Wyoming	Shults et al., 1990
Spermophilus armatus	Eimeria callospermophili	Southeastern Utah	Shults et al., 1990
Spermophilus armatus	Eimeria callospermophili	Montana	Shults et al., 1990
Spermophilus armatus	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN	Wilber et al., 1998
Spermophilus armatus	Eimeria cynomysis	NORTH AMERICA and EUROPE	Wilber et al., 1998
Spermophilus armatus	Eimeria lateralis	NORTH AMERICA and ASIA	Wilber et al., 1998
Spermophilus armatus	Thrassis francisi	Idaho	Barnes, 1993
Spermophilus armatus	Thrassis francisi	Utah	Barnes, 1993
Spermophilus armatus	Thrassis francisi	Wyoming	Barnes, 1993
Spermophilus armatus	Thrassis pandorae	Idaho	Barnes, 1993
Spermophilus armatus	Thrassis pandorae	Utah	Barnes, 1993
Spermophilus armatus	Thrassis pandorae	Wyoming	Barnes, 1993
Spermophilus armatus	Heligmosomoides polygyrus	Teton National Park, Wyoming	Bergstrom&Werner 1981
Spermophilus beecheyi	Androlaelaps fahrenholzi	Oregon, Curry County	Whitaker, Jr. & Maser, 1985
Spermophilus beecheyi	Haemogamasus occidentalis	Oregon, Curry County	Whitaker, Jr. & Maser, 1985
Spermophilus beecheyi	Androlaelaps fahrenholzi	Oregon	Whitaker, Jr. & Maser, 1985
Spermophilus beecheyi	Haemogamasus occidentalis	Oregon	Whitaker, Jr. & Maser, 1985
Spermophilus beecheyi	Eimeria lateralis	California	Shults et al., 1990
Spermophilus beecheyi	Eimeria cynomysis	California	Shults et al., 1990
Spermophilus beecheyi	Eimeria beecheyi	California	Shults et al., 1990
Spermophilus beecheyi	Eimeria callospermophili	California	Shults et al., 1990
Spermophilus beecheyi	Orthohepadnavirus sp.	Not reported	Cullen et al., 1994
Spermophilus beecheyi	Hantavirus sp.	A ranch 20km northeast of Solvang, California	Turell et al., 1995
Spermophilus beecheyi	Orthohepadnavirus sp.	California	Cullen & Marion, 1996
Spermophilus beecheyi	Bartonella sp.	Idlewild Park, Washoe County, Nevada	Kosoy et al., 2003
Spermophilus beecheyi	Bartonella sp.	Governor's Bowl Park,Washoe County, Nevada	Kosoy et al., 2003
Spermophilus beecheyi	Bartonella sp.	Washoe County Golf Course, Nevada	Kosoy et al., 2003
Spermophilus beecheyi	Bartonella sp.	Galena Creek Park, Washoe County, Nevada	Kosoy et al., 2003
Spermophilus beecheyi	Bartonella sp.	South Meadows Sports Complex, Washoe County, Nevada	Kosoy et al., 2003
Spermophilus beecheyi	Bartonella sp.	South Meadows Sports Complex, Washoe County, Nevada	Kosoy et al., 2003
Spermophilus beecheyi	Orthohepadnavirus sp.	Not reported	Mehrotra & Mehrotra, 1987
Spermophilus beecheyi	Orthohepadnavirus sp.	North California	Mehrotra et al., 1990
Spermophilus beecheyi	Orchopeas nepos	Nevada	Eads et al., 1985
