HostCorrectedName	ParasiteCorrectedName	LocationName	LongitudeDecimal	LatitudeDecimal	Accuracy	Extent_km2	ParasiteType	CloseT	Sexual	Vertical	Nonclose	Vector	Intermediate
Glaucomys volans	Capillaria americana	University Lodge on the Campus of Indiana Unversity of Pennsylvania	-79.1582	40.6169	3	2	Helminth	0	0	0	1	0	1
Glaucomys volans	Capillaria americana	Northern United States	-104.055	43.6927	4	4	Helminth	0	0	0	1	0	1
Spermophilus undulatus	Capillaria armeniaca	Baikal Lake Basin, Buryatskaya	109.04	53.38	3	4	Helminth	0	0	0	1	0	1
Cynomys leucurus	Capillaria sp.	Meeteetse, Park County, Wyoming1	-109.083	44.1283	1	2	Helminth	0	0	0	1	0	1
Cynomys leucurus	Capillaria sp.	Meeteetse, Park County, Wyoming1	-109.083	44.1283	1	2	Helminth	0	0	0	1	0	1
Marmota monax	Capillaria sp.	UNITED STATES	-95.7129	37.0902	2	4	Helminth	0	0	0	1	0	1
Marmota monax	Capillaria tamiasstriati	Tompkins County, Finger Lakes Region, New York	-76.4736	42.4519	2	2	Helminth	0	0		1	0	1
Tamias striatus	Capillaria tamiasstriati	Adrian, Armstrong County, Pennsylvania	-79.5378	40.8847	2	2	Helminth	0	0		1	0	1
Tamias striatus	Capillaria tamiasstriati	Cowansville, Armstrong County, Pennsylvania	-79.5883	40.8878	2	2	Helminth	0	0		1	0	1
Sciurus vulgaris	Cardiovirus sp.	GREAT BRITAIN	-2.69528	54.7583	2	4	Virus	1	0	0	1	0	0
Cynomys gunnisoni	Catallagia decipiens	Moreno Valley of north-central New Mexico	-105.272	36.5336	2	2							
Cynomys leucurus	Catallagia decipiens	Moreno Valley of north-central New Mexico	-105.272	36.5336	2	2							
Sciurus vulgaris	Catenotaenia dendritica	Brest and Gomel regions	27.453	52.348	4	4							
Glaucomys volans	Catenotaenia pusilla	Connecticut	-27.6664	41.6669	2	3							
Cynomys leucurus	Cediopsylla inaequalis	Meeteetse, Park County, Wyoming2	-109.08	44.1833	2	2							
Cynomys leucurus	Cediopsylla inaequalis	Moreno Valley of north-central New Mexico	-105.272	36.5336	2	2							
Spermophilus pygmaeus	Ceratophyllus tesquorum	CASPIAN LOWLAND, North Eastern part	49.84	46.36	4	4							
Sciurus vulgaris	Ceratophyllus sciurorum	Cerkno	13.9892	46.1289	2	2							
Sciurus vulgaris	Ceratophyllus sciurorum	Ljubljana: Vrhovci	14.4556	46.0442	2	1							
Sciurus vulgaris	Ceratophyllus sciurorum	Kranj, Milje	14.4053	46.2673	2	2							
Sciurus vulgaris	Ceratophyllus sciurorum	Sencur, Voglje	14.4366	46.2144	2	2							
Sciurus vulgaris	Ceratophyllus sciurorum	Gameljne, Slovenija	14.4972	46.1269	2	2							
Sciurus vulgaris	Ceratophyllus sciurorum	Orjen	18.5439	42.5978	2	2							
Sciurus vulgaris	Ceratophyllus sciurorum	Deliblatska Pescara: Kremenjak	21.1142	44.8939	2	2							
Sciurus vulgaris	Ceratophyllus sciurorum	Tara Planina: Predov Krst	19.3097	43.9406	2	2							
Sciurus vulgaris	Ceratophyllus sciurorum	Riding Mill	-1.97306	54.9486	2	2							
Tamiasciurus hudsonicus	Ceratophyllus vison	Robertson County, Tennessee	-86.8706	36.5253	2	2							
Tamiasciurus hudsonicus	Ceratophyllus vison	Tennessee	-86.5805	35.5175	2	4							
