HostCorrectedName	ParasiteCorrectedName	LocationName	LongitudeDecimal	LatitudeDecimal	Accuracy	Extent_km2	ParasiteType	CloseT	Sexual	Vertical	Nonclose	Vector	Intermediate
Spermophilus franklinii	Eimeria cynomysis	NORTH AMERICA and EUROPE											
Spermophilus lateralis	Eimeria cynomysis	NORTH AMERICA and EUROPE											
Spermophilus elegans	Eimeria cynomysis	NORTH AMERICA and EUROPE											
Spermophilus townsendii	Eimeria cynomysis	NORTH AMERICA and EUROPE											
Spermophilus tridecemlineatus	Eimeria cynomysis	NORTH AMERICA and EUROPE											
Spermophilus variegatus	Eimeria cynomysis	NORTH AMERICA and EUROPE											
Cynomys ludovicianus	Eimeria cynomysis	Near Fort Collins, Colorado	-105.084	40.585	3	2							
Marmota monax	Eimeria cynomysis	NORTH AMERICA	-105.255	54.526	2	4							
Marmota baibacina	Eimeria cynomysis	NORTH AMERICA	-105.255	54.526	2	4							
Marmota bobak	Eimeria cynomysis	NORTH AMERICA	-105.255	54.526	2	4							
Sciurus aestuans	Eimeria botelhoi	Brazil	-51.9253	14.235	2	4							
Sciurus vulgaris	Eimeria botelhoi	BULGARIA	25.4858	42.7339	2	4							
Sciurus vulgaris	Eimeria botelhoi	CZECHOSLOVAKIA	18.0768	49.0422	2	4							
Sciurus vulgaris	Eimeria botelhoi	HUNGARY	19.5033	47.1625	2	4							
Sciurus vulgaris	Eimeria botelhoi	GERMANY	10.5	51.5	2	4							
Spermophilus elegans	Eimeria callospermophili	Wyoming, irrigated alfalfa-brome field, 10km south of Laramie	-105.55	41.2	1	1							
Spermophilus elegans	Eimeria callospermophili	Xeric cold desert shrub-steppe, 14km north of Baggs, Wyoming	-107.75	41.2	1	1							
Spermophilus lateralis	Eimeria callospermophili	California	-119.418	36.7779	2	4							
Spermophilus lateralis	Eimeria callospermophili	Colorado	-105.501	39.0003	2	4							
Spermophilus fulvus	Eimeria callospermophili	Liechtenstein	9.53333	47.1667	2	2							
Spermophilus fulvus	Eimeria callospermophili	Soviet Union	98	60	3	4							
Spermophilus spilosoma	Eimeria callospermophili	MEXICO	-102	23	2	4							
Spermophilus beldingi	Eimeria callospermophili	California	-119.418	36.7779	2	4							
Spermophilus columbianus	Eimeria callospermophili	Alberta	-117.469	52.2833	2	4							
Spermophilus franklinii	Eimeria callospermophili	Alberta	-117.469	52.2833	2	4							
Spermophilus elegans	Eimeria callospermophili	Alberta	-117.469	52.2833	2	4							
Spermophilus armatus	Eimeria callospermophili	Southeastern Utah	-110.037	38.152	3	3							
Spermophilus armatus	Eimeria callospermophili	Montana	-109.751	47	2	4							
Spermophilus elegans	Eimeria callospermophili	Montana	-109.751	47	2	4							
Spermophilus elegans	Eimeria callospermophili	Southeastern Wyoming	-105.78	42.076	3	4							
Spermophilus beecheyi	Eimeria callospermophili	California	-119.418	36.7779	2	4							
Spermophilus lateralis	Eimeria callospermophili	Southeastern Utah	-110.037	38.152	3	3							
Spermophilus variegatus	Eimeria callospermophili	Southeastern Utah	-110.037	38.152	3	3							
Spermophilus tridecemlineatus	Eimeria callospermophili	Southeastern Wyoming	-105.78	42.076	3	4							
Ammospermophilus leucurus	Eimeria callospermophili	Southeastern Wyoming	-105.78	42.076	3	4							
Spermophilus tridecemlineatus	Eimeria callospermophili	Laramie, Wyoming1	-105.55	41.2	1	1							
Spermophilus tridecemlineatus	Eimeria callospermophili	Gillette, Wyoming	-105.517	44.2833	1	1							
Spermophilus elegans	Eimeria callospermophili	Laramie, Wyoming1	-105.55	41.2	1	1							
Cynomys leucurus	Eimeria callospermophili	Laramie, Wyoming1	-105.55	41.2	1	1							
Cynomys leucurus	Eimeria callospermophili	Not reported											
Cynomys gunnisoni	Eimeria callospermophili	Southeastern Utah	-110.037	38.152	3	3							
Cynomys gunnisoni	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Cynomys leucurus	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Cynomys ludovicianus	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Marmota baibacina	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Marmota bobak	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Marmota flaviventris	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Marmota monax	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Spermophilus armatus	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Spermophilus beecheyi	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Spermophilus beldingi	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Spermophilus columbianus	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Spermophilus undulatus	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Spermophilus elegans	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Spermophilus erythrogenys	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Spermophilus franklinii	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Spermophilus fulvus	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Spermophilus lateralis	Eimeria callospermophili	Placer County, California	-120.717	39.0633	2	3							
Spermophilus mexicanus	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Spermophilus relictus	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Spermophilus elegans	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Spermophilus spilosoma	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Spermophilus townsendii	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Spermophilus tridecemlineatus	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Spermophilus undulatus	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Spermophilus variegatus	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Cynomys ludovicianus	Eimeria callospermophili	Casper, Wyoming	-106.333	42.8333	3	2							
Marmota flaviventris	Eimeria callospermophili	Not reported											
Cynomys leucurus	Eimeria callospermophili	Hutton Lake Wildlife Refuge, Laramie, Wyoming	-105.667	41.8333	1	1							
Marmota sibirica	Eimeria callospermophili	Placer County, California	-120.717	39.0633	2	3							
Spermophilus beldingi	Eimeria callospermophili	NORTH AMERICA	-105.255	54.526	2	4							
Spermophilus undulatus	Eimeria callospermophili	NORTH AMERICA	-105.255	54.526	2	4							
Spermophilus erythrogenys	Eimeria callospermophili	ASIA, EUROPE, USA											
Spermophilus fulvus	Eimeria callospermophili	ASIA, EUROPE, USA											
Spermophilus pygmaeus	Eimeria callospermophili	ASIA, EUROPE, USA											
Spermophilus relictus	Eimeria callospermophili	ASIA, EUROPE, USA											
Spermophilus tridecemlineatus	Eimeria callospermophili	NORTH AMERICA	-105.255	54.526	2	4							
Spermophilus undulatus	Eimeria callospermophili	ASIA, EUROPE, USA											
Marmota monax	Eimeria callospermophili	Not reported											
Marmota menzbieri	Eimeria callospermophili	KASACHSTAN	57.2069	50.2794	2	4							
Marmota monax	Eimeria callospermophili	Not reported											
Marmota monax	Eimeria callospermophili	Tompkins County, Finger Lakes Region, New York	-76.4736	42.4519	2	2							
Marmota baibacina	Eimeria callospermophili	NORTH AMERICA and ASIA											
Marmota bobak	Eimeria callospermophili	NORTH AMERICA and ASIA											
Marmota marmota	Eimeria callospermophili	NORTH AMERICA and ASIA											
Marmota menzbieri	Eimeria callospermophili	NORTH AMERICA and ASIA											
Marmota monax	Eimeria callospermophili	Washington D.C.	-77.0367	38.895	2	2							
Marmota sibirica	Eimeria callospermophili	NORTH AMERICA and ASIA											
Marmota monax	Eimeria callospermophili	Not reported											
Marmota monax	Eimeria callospermophili	Tompkins County, Finger Lakes Region, New York	-76.4736	42.4519	2	2							
Marmota bobak	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Marmota baibacina	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Marmota caudata	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Marmota menzbieri	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Marmota monax	Eimeria callospermophili	Near Ames, Iowa	-93.6197	42.0344	3	2							
Marmota sibirica	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN											
Marmota monax	Eimeria callospermophili	Not reported											
Marmota monax	Eimeria callospermophili	Tompkins County, Finger Lakes Region, New York	-76.4736	42.4519	2	2							
Marmota monax	Eimeria callospermophili	Not reported											
Sciurus carolinensis	Eimeria confusa	ENGLAND	-1.17432	52.3555	2	4							
Sciurus carolinensis	Eimeria confusa	NORTH AMERICA	-105.255	54.526	2	4							
Spermophilus fulvus	Eimeria deserticola	Karschinski and Ulianovski regions	63.8489	41.6666	4	4							
Tamias dorsalis	Eimeria eutamiae	Arizona	-111.094	34.0489	2	4							
Tamias dorsalis	Eimeria eutamiae	Hull Tank, southern rim of the Grand Canyon, Arizona 	-111.943	35.9656	2	2							
Sciurus vulgaris	Eimeria franchinii	Italy	12.8333	42.8333	2	4							
Spermophilus franklinii	Eimeria franklinii	Near Ames, Iowa	-93.6197	42.0344	3	2							
Spermophilus spilosoma	Eimeria hoffmeisteri	11 km. N of Rincon de Romos, Aguascalientes	-102.316	22.3323	2	2							
Sciurus niger	Eimeria sciurorum	Indiana	-86.2503	40.0003	2	4							
Sciurus carolinensis	Eimeria sciurorum	Berlin	13.4	52.5167	2	2							
Sciurus carolinensis	Eimeria sciurorum	ENGLAND	-1.17432	52.3555	2	4							
Sciurus aureogaster	Eimeria sciurorum	British Honduras	-88.75	17.15	2	4							
Sciurus carolinensis	Eimeria sciurorum	Berlin	13.4	52.5167	2	2							
Sciurus vulgaris	Eimeria sciurorum	BULGARIA	25.4858	42.7339	2	4							
Sciurus vulgaris	Eimeria sciurorum	BRITISH ISLES	-3.32	54.1896	4	4							
Sciurus vulgaris	Eimeria sciurorum	SWITZERLAND	8.01417	47	2	4							
Sciurus vulgaris	Eimeria sciurorum	HUNGARY	19.5033	47.1625	2	4							
Sciurus vulgaris	Eimeria sciurorum	Soviet Union	98	60	3	4							
Sciurus vulgaris	Eimeria sciurorum	YUGOSLAVIA	20.4678	44.8183	3	4							
Sciurus vulgaris	Eimeria sciurorum	CZECHOSLOVAKIA	18.0768	49.0422	2	4							
Sciurus vulgaris	Eimeria sciurorum	HUNGARY	19.5033	47.1625	2	4							
Sciurus carolinensis	Eimeria lancasterensis	ENGLAND	-1.17432	52.3555	2	4							
Sciurus niger	Eimeria lancasterensis	Indiana	-86.2503	40.0003	2	4							
Sciurus carolinensis	Eimeria lancasterensis	UNITED STATES	-95.7129	37.0902	2	4							
Cynomys leucurus	Eimeria ludoviciani	Meeteetse, Park County, Wyoming1	-109.083	44.1283	1	2							
Cynomys leucurus	Eimeria ludoviciani	Meeteetse, Park County, Wyoming1	-109.083	44.1283	1	2							
Cynomys ludovicianus	Eimeria ludoviciani	Not reported											
Cynomys leucurus	Eimeria ludoviciani	Not reported											
Cynomys leucurus	Eimeria ludoviciani	Near Fort Collins, Colorado	-105.084	40.585	3	2							
Cynomys ludovicianus	Eimeria ludoviciani	Near Fort Collins, Colorado	-105.084	40.585	3	2							
Cynomys ludovicianus	Eimeria ludoviciani	Northern Colorado	-105.538	40.0718	2	4							
Cynomys leucurus	Eimeria ludoviciani	Wyoming	-107.29	43.076	2	4							
Sciurus vulgaris	Eimeria luiseri	SWITZERLAND	8.01417	47	2	4							
Marmota marmota	Eimeria cynonymis	Not reported											
Sciurus aberti	Eimeria ontarioensis	Apache County, Arizona	-109.378	35.5313	2	3							
Sciurus carolinensis	Eimeria ontarioensis	ENGLAND	-1.17432	52.3555	2	4							
Sciurus niger	Eimeria ontarioensis	Indiana	-86.2503	40.0003	2	4							
Sciurus carolinensis	Eimeria ontarioensis	NORTH AMERICA	-105.255	54.526	2	4							
Tamias striatus	Eimeria ovata	Massachusetts	-71.3824	42.4072	2	3							
Tamias striatus	Eimeria ovata	Armstrong County, Pennsylvania	-79.5167	40.9	1	1							
Tamias striatus	Eimeria ovata	Massachusetts	-71.3824	42.4072	2	3							
Spermophilus lateralis	Eimeria ovata	NORTH AMERICA	-105.255	54.526	2	4							
Tamias striatus	Eimeria ovata	Town of Boxford, Essex County, Massachusetts	-71.0189	42.6814	2	2							
Tamias cinereicollis	Eimeria ovata	NORTH AMERICA	-105.255	54.526	2	4							
Spermophilus townsendii	Eimeria pseudospermophili	Idaho	-114.742	44.0682	2	4							
Cynomys ludovicianus	Eimeria pseudospermophili	NORTH AMERICA	-105.255	54.526	2	4							
Spermophilus townsendii	Eimeria pseudospermophili	Snake River Birds of Prey Area, Ada County, Idaho	-115.644	42.85	2	2							
Cynomys ludovicianus	Eimeria pseudospermophili	Casper, Wyoming	-106.333	42.8333	3	2							
Sciurus vulgaris	Eimeria silvana	BULGARIA	25.4858	42.7339	2	4							
Sciurus vulgaris	Eimeria silvana	BRITISH ISLES	-3.32	54.1896	4	4							
Sciurus carolinensis	Eimeria sp.	Florida	-82.5	28.7503	2	4	Protozoa	0	0	0	1	0	0
Sciurus griseus	Eimeria sp.	California	-119.418	36.7779	2	4	Protozoa	0	0	0	1	0	0
Cynomys ludovicianus	Eimeria sp.	Casper, Wyoming	-106.333	42.8333	3	2	Protozoa	0	0	0	1	0	0
Cynomys leucurus	Eimeria sp.	Hutton Lake Wildlife Refuge, Laramie, Wyoming	-105.667	41.8333	1	1	Protozoa	0	0	0	1	0	0
Spermophilus elegans	Eimeria spermophili	Wyoming, irrigated alfalfa-brome field, 10km south of Laramie	-105.55	41.2	1	1							
Spermophilus elegans	Eimeria spermophili	Xeric cold desert shrub-steppe, 14km north of Baggs, Wyoming	-107.75	41.2	1	1							
Spermophilus elegans	Eimeria spermophili	Alberta	-117.469	52.2833	2	4							
Spermophilus franklinii	Eimeria spermophili	Alberta	-117.469	52.2833	2	4							
Spermophilus elegans	Eimeria spermophili	Laramie, Wyoming1	-105.55	41.2	1	1							
Cynomys gunnisoni	Eimeria spermophili	Southeastern Utah	-110.037	38.152	3	3							
Cynomys gunnisoni	Eimeria spermophili	NORTH AMERICA	-105.255	54.526	2	4							
Cynomys leucurus	Eimeria spermophili	NORTH AMERICA	-105.255	54.526	2	4							
Cynomys ludovicianus	Eimeria spermophili	NORTH AMERICA	-105.255	54.526	2	4							
Marmota flaviventris	Eimeria spermophili	NORTH AMERICA	-105.255	54.526	2	4							
Spermophilus elegans	Eimeria spermophili	NORTH AMERICA	-105.255	54.526	2	4							
Spermophilus franklinii	Eimeria spermophili	NORTH AMERICA	-105.255	54.526	2	4							
Spermophilus elegans	Eimeria spermophili	Alberta	-117.469	52.2833	2	4							
Cynomys ludovicianus	Eimeria spermophili	Casper, Wyoming	-106.333	42.8333	3	2							
Cynomys leucurus	Eimeria spermophili	Hutton Lake Wildlife Refuge, Laramie, Wyoming	-105.667	41.8333	1	1							
Marmota baibacina	Eimeria surki	Alma-Ata, Kerekin area	76.9126	43.2551	3	2							
Marmota bobak	Eimeria surki	Alma-Ata, Kerekin area	76.9126	43.2551	3	2							
Tamias dorsalis	Eimeria tamiasciuri	Cochise County, Arizona	-109.751	31.8794	2	4							
Tamias merriami	Eimeria tamiasciuri	Riverside County, California	-117.401	33.9533	2	3							
Tamias obscurus	Eimeria tamiasciuri	Baja California Norte	-115.284	30.8406	2	4							
Sciurus aberti	Eimeria tamiasciuri	Apache County, Arizona	-109.378	35.5313	2	3							
Sciurus griseus	Eimeria tamiasciuri	Riverside County, California	-117.401	33.9533	2	3							
Tamiasciurus hudsonicus	Eimeria tamiasciuri	Apache County, Arizona	-109.378	35.5313	2	3							
Tamiasciurus mearnsi	Eimeria tamiasciuri	Baja California Norte	-115.284	30.8406	2	4							
Tamiasciurus hudsonicus	Eimeria tamiasciuri	Wisconsin	-88.7879	43.7844	2	4							
Sciurus aberti	Eimeria tamiasciuri	New Mexico, Catron Co + Rio Arriba Co + Sandoval Co	-107.231	35.4769	3	4							
Tamiasciurus hudsonicus	Eimeria tamiasciuri	New Mexico, Catron Co + Rio Arriba Co + Sandoval Co + San Juan	-105.87	34.5199	4	4							
Tamiasciurus hudsonicus	Eimeria tamiasciuri	Arizona	-111.094	34.0489	2	4							
Tamiasciurus hudsonicus	Eimeria tamiasciuri	Wisconsin	-88.7879	43.7844	2	4							
Tamiasciurus hudsonicus	Eimeria tamiasciuri	Ontario	-85.3228	51.2536	2	4							
Sciurus aberti	Eimeria tamiasciuri	Arizona	-111.094	34.0489	2	4							
Tamiasciurus hudsonicus	Eimeria tamiasciuri	Arizona	-111.094	34.0489	2	4							
Sciurus aberti	Eimeria tamiasciuri	NORTH AMERICA	-105.255	54.526	2	4							
Sciurus griseus	Eimeria tamiasciuri	NORTH AMERICA	-105.255	54.526	2	4							
Tamias dorsalis	Eimeria tamiasciuri	NORTH AMERICA	-105.255	54.526	2	4							
Tamias merriami	Eimeria tamiasciuri	NORTH AMERICA	-105.255	54.526	2	4							
Tamias obscurus	Eimeria tamiasciuri	NORTH AMERICA	-105.255	54.526	2	4							
Tamiasciurus hudsonicus	Eimeria tamiasciuri	Northern rim of the Grand Canyon, near entrance to Grand Canyon National Park	-112.048	36.195	3	2							
Tamiasciurus mearnsi	Eimeria tamiasciuri	NORTH AMERICA	-105.255	54.526	2	4							
Tamiasciurus hudsonicus	Eimeria tamiasciuri	Alberta	-117.469	52.2833	2	4							
Tamias striatus	Eimeria tamiensis	Armstrong County, Pennsylvania	-79.5167	40.9	1	1							
Tamiasciurus hudsonicus	Eimeria toddi	Apache County, Arizona	-109.378	35.5313	2	3							
Tamiasciurus hudsonicus	Eimeria toddi	Wisconsin	-88.7879	43.7844	2	4							
Marmota menzbieri	Eimeria monacis	Not reported											
Spermophilus erythrogenys	Eimeria volgenis	KASACHSTAN	57.2069	50.2794	2	4							
Spermophilus pygmaeus	Eimeria volgenis	KASACHSTAN	57.2069	50.2794	2	4							
Spermophilus relictus	Eimeria volgenis	KASACHSTAN	57.2069	50.2794	2	4							
Spermophilus undulatus	Eimeria volgenis	KASACHSTAN	57.2069	50.2794	2	4							
Spermophilus undulatus	Eimeria yukonensis	Khuna Lake area, mile 1054 of the Alaskan Highway, Yukon Territory	-139.234	61.4437	2	2							
Sciurus vulgaris	Enderleinellus nitzschi	CZECHOSLOVAKIA	18.0768	49.0422	2	4							
Tamias sibiricus	Enderleinellus tamiasis	NORTH AMERICA	-105.255	54.526	2	4							
Sciurus carolinensis	Enderleinellus longiceps	UNITED STATES	-95.7129	37.0902	2	4							
Sciurus niger	Enderleinellus longiceps	UNITED STATES	-95.7129	37.0902	2	4							
Sciurus carolinensis	Enderleinellus longiceps	Davidson County, Tennessee	-86.7847	36.1694	2	2							
Sciurus carolinensis	Enderleinellus longiceps	Hamilton County, Tennessee	-85.1479	35.1619	2	2							
Sciurus carolinensis	Enderleinellus longiceps	Tennessee	-86.5805	35.5175	2	4							
Sciurus carolinensis	Enderleinellus longiceps	Lookout Mountain	-85.3494	34.9942	2	2							
Sciurus carolinensis	Enderleinellus longiceps	Chattanooga 	-85.3094	35.0456	2	2							
Sciurus carolinensis	Enderleinellus longiceps	Shelby County, Tennessee	-89.8956	35.1839	2	2							
Marmota monax	Enderleinellus marmotae	Tompkins County, Finger Lakes Region, New York	-76.4736	42.4519	2	2							
Sciurus granatensis	Endotrypanum sp.	Ecuador	-78.1834	-1.83124	2	4	Protozoa	0	0	0	0	1	0
Sciurus aberti	Enterobius sciuri	New Mexico, Catron Co + Rio Arriba Co	-107.585	35.3892	3	4							
Sciurus niger	Enterobius sciuri	Not reported											
Glaucomys volans	Enterobius sciuri	Not reported											
Sciurus carolinensis	Enterobius sciuri	Not reported											
Glaucomys volans	Enterobius sciuri	Northern United States	-104.055	43.6927	4	4							
Sciurus carolinensis	Enterobius sciuri	Georgia	-83.5	32.7503	2	4							
Glaucomys volans	Epitedia faceta	UNITED STATES	-95.7129	37.0902	2	4							
Tamiasciurus hudsonicus	Epitedia faceta	Carter County, Tennessee	-82.1278	36.2639	2	3							
Tamiasciurus hudsonicus	Epitedia faceta	Tennessee	-86.5805	35.5175	2	4							
Glaucomys volans	Epitedia faceta	New York	-74.0058	40.7142	2	2							
Glaucomys sabrinus	Epitedia faceta	Vermont	-72.7497	44.0003	2	2							
Spermophilus lateralis	Epitedia wenmanni	Bend, Deschutes County, Oregon	-121.227	44.1466	2	2							
Tamias striatus	Epitedia wenmanni	Davidson County, Tennessee	-86.7847	36.1694	2	2							
Tamias striatus	Epitedia wenmanni	Tennessee	-86.5805	35.5175	2	4							
Tamiasciurus hudsonicus	Epitedia wenmanni	Dickinson County, approx. 13km east of Sagola, Michigan	-87.9086	46.0828	3	2							
Spermophilus pygmaeus	Euandrolaelaps sardous	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	42.6442	43.2575	3	2							
Tamias townsendii	Eubrachylaelaps debilis	Oregon	-120.554	43.8041	2	4							
Glaucomys sabrinus	Eucheyletia bishoppi	Oregon	-120.554	43.8041	2	4							
Spermophilus pygmaeus	Eucheyletia sp.	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	42.6442	43.2575	3	2							
Tamiasciurus douglasii	Eulaelaps stabularis	Oregon	-120.554	43.8041	2	4							
Tamias townsendii	Eulaelaps stabularis	Oregon	-120.554	43.8041	2	4							
Tamiasciurus douglasii	Eulaelaps stabularis	Oregon	-120.554	43.8041	2	4							
Tamias striatus	Eulaelaps stabularis	11km southwest of Nashville, Davidson County, Tennessee	-86.8737	36.0937	2	2							
Spermophilus pygmaeus	Eulaelaps stabularis	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	42.6442	43.2575	3	2							
Tamias sp.	Eumolpianus eumolpi	NORTH AMERICA	-105.255	54.526	2	4							
Sciurus aberti	Eumolpianus eumolpi	New Mexico, Catron Co + Rio Arriba Co	-107.585	35.3892	3	4							
Spermophilus alashanicus	Euryparasitus citelli	Haiyuan County	105.1	36.0833	1	2							
Spermophilus pygmaeus	Euryparasitus emarginatus	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	42.6442	43.2575	3	2							
Spermophilus townsendii	Euryparasitus sp.	Oregon, Malheur County	-117.623	43.1933	2	2							
Tamiasciurus douglasii	Euryparasitus sp.	Oregon	-120.554	43.8041	2	4							
Tamias striatus	Euschoengastia peromysci	Tishomingo County, Mississippi	-88.2392	34.7403	2	2							
Tamias striatus	Eutrichota finitima	11km southwest of Nashville, Davidson County, Tennessee	-86.8737	36.0937	2	2							
Tamias striatus	Eutrombicula alfreddugesi	11km southwest of Nashville, Davidson County, Tennessee	-86.8737	36.0937	2	2	Arthropod	0	0	0	1	0	0
Prosciurillus murinus	Farhangia quattuordecimdentata	Lake Lindu, Tomado, Sulawesi	120.05	-1.31667	1	1							
Prosciurillus leucomus	Farhangia sedecimdentata	Sungai Tokararu, Sulawesi	120.117	-1.28334	1	1							
Tamias minimus	Flavivirus sp.	Fort McMurray, Alberta	-111	57	1	2	Virus	0	0	0	0	1	0
Tamiasciurus hudsonicus	Flavivirus sp.	Fort McMurray, Alberta	-111	57	1	2	Virus	0	0	0	0	1	0
Marmota monax	Flavivirus sp.	Ontario	-85.3228	51.2536	2	4	Virus	0	0	0	0	1	0
Spermophilus armatus	Foxella ignota	Meeteetse, Park County, Wyoming2	-109.08	44.1833	2	2							
Spermophilus alashanicus	Frontopsylla elatoides	Qinghai Province	95	36	2	4							
Spermophilus dauricus	Frontopsylla luculenta	Wuningbatu Sumu, Zhengxiangbai Banner, Inner Mongolia	114.881	42.4179	2	2							
Spermophilus pygmaeus	Gamasodes micherdzinskii	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	42.6442	43.2575	3	2							
Spermophilus pygmaeus	Gamasodes spiniger	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	42.6442	43.2575	3	2							
Tamias townsendii	Glycyphagus hypudaei	Oregon	-120.554	43.8041	2	4							
Tamiasciurus douglasii	Glycyphagus hypudaei	Oregon	-120.554	43.8041	2	4							
Glaucomys sabrinus	Gohieria sp.	Oregon	-120.554	43.8041	2	4							
Marmota monax	Graphidium sp.	New York	-74.0058	40.7142	2	2							
Glaucomys volans	Haemogamasus ambulans	Fort Stewart Military Reservation, Georgia	-81	32	1	2							
Spermophilus musicus	Haemogamasus mandschuricus	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	42.6442	43.2575	3	2							
Spermophilus pygmaeus	Haemogamasus mandschuricus	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	42.6442	43.2575	3	2							
Spermophilus beecheyi	Haemogamasus occidentalis	Oregon, Curry County	-124.215	42.4664	2	2							
Tamias townsendii	Haemogamasus occidentalis	Oregon	-120.554	43.8041	2	4							
Spermophilus beecheyi	Haemogamasus occidentalis	Oregon	-120.554	43.8041	2	4							
Glaucomys sabrinus	Haemogamasus pontiger	Oregon	-120.554	43.8041	2	4							
Tamias striatus	Haemogamasus pontiger	11km southwest of Nashville, Davidson County, Tennessee	-86.8737	36.0937	2	2							
Tamiasciurus douglasii	Haemogamasus reidi	Oregon	-120.554	43.8041	2	4							
Tamias townsendii	Haemogamasus reidi	Oregon	-120.554	43.8041	2	4							
Glaucomys sabrinus	Haemogamasus reidi	Oregon	-120.554	43.8041	2	4							
Tamiasciurus douglasii	Haemogamasus reidi	Oregon	-120.554	43.8041	2	4							
Glaucomys volans	Haemogamasus reidi	UNITED STATES	-95.7129	37.0902	2	4							
Glaucomys volans	Haemogamasus reidi	UNITED STATES	-95.7129	37.0902	2	4							
Spermophilus musicus	Halolaelaps sp.	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	42.6442	43.2575	3	2							
Spermophilus pygmaeus	Halolaelaps sp.	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	42.6442	43.2575	3	2							
Tamias minimus	Hantavirus sp.	Mammoth Lakes, California	-118.971	37.6484	4	2	Virus						
Sciurus carolinensis	Heligmodendrium hassalli	Indiana County, Pennsylvania	-79.1097	40.6851	2	2							
Tamias amoenus	Heteroxynema cucullatum	Colorado	-105.501	39.0003	2	4							
Tamias sp.	Heteroxynema cucullatum	Utah	-111.751	39.25	2	4							
Tamias sp.	Heteroxynema cucullatum	Nye, Esmeralda, Lincoln, and Clark Counties, Nevada	-115.785	37.5881	4	4							
Spermophilus pygmaeus	Hirstionyssus criceti	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	42.6442	43.2575	3	2							
Cynomys leucurus	Hystrichopsylla dippiei	Meeteetse, Park County, Wyoming2	-109.08	44.1833	2	2							
Spermophilus armatus	Hystrichopsylla dippiei	Meeteetse, Park County, Wyoming2	-109.08	44.1833	2	2							
Cynomys leucurus	Hystrichopsylla dippiei	Meeteetse, Park County, Wyoming3	-109.323	44.0361	2	2							
Spermophilus armatus	Hystrichopsylla dippiei	Meeteetse, Park County, Wyoming3	-109.323	44.0361	2	2							
Tamiasciurus hudsonicus	Hystrichopsylla dippiei	Itasca County, Minnesota	-93.6319	47.5094	2	3							
Tamiasciurus hudsonicus	Hystrichopsylla dippiei	St. Louis County, Minnesota	-92.4614	47.5897	2	3							
Tamias alpinus	Hoplopleura arboricola	NORTH AMERICA	-105.255	54.526	2	4							
Tamias ruficaudus	Hoplopleura arboricola	NORTH AMERICA	-105.255	54.526	2	4							
Tamias dorsalis	Hoplopleura arboricola	NORTH AMERICA	-105.255	54.526	2	4							
Tamias merriami	Hoplopleura arboricola	NORTH AMERICA	-105.255	54.526	2	4							
Tamias minimus	Hoplopleura arboricola	NORTH AMERICA	-105.255	54.526	2	4							
Tamias ochrogenys	Hoplopleura arboricola	NORTH AMERICA	-105.255	54.526	2	4							
Tamias quadrivittatus	Hoplopleura arboricola	NORTH AMERICA	-105.255	54.526	2	4							
